question,category
"A‟ stands surety for „B‟ for any amount which „C‟ may lend to B from time to time during the next three months subject to a maximum of Rs.50,000. One month later A revokes the guarantee, when C hadlent to B Rs.5,000. Referring to the provisions of the Indian Contract Act, 1872 decide whether „A‟ isdischarged from all the liabilities to „C‟ for any subsequent loan. What would be your answer in case „B‟makes a default in paying back to „C‟ the money already borrowed i.e. Rs.5,000?",CONTRACT ACT
"Mr. Dubious textile enters into a contract with Retail Garments Show Room for supply of 1,000 piecesof Cotton Shirts at Rs.300 per shirt to be supplied on or before 31st December, 2007. However, on 1st November, 2007 Dubious Textiles informs the Retail Garments Show Room that he is not willing to supply the goods as the price of Cotton shirts in the meantime has gone upto Rs. 350 per shirt. Examinethe rights of the Retail Garments Show Room in this regard",CONTRACT ACT
 contracts with B for a fixed price to construct a house for B within a stipulated time. B would  supply the necessary material to be used in the construction. C guarantees A‟s performance of the contract. B does not supply the material as per the agreement. Is C discharged from his liability,CONTRACT ACT
"C, the holder of an over due bill of exchange drawn by A as surety for B, and accepted by B,contracts with X to give time to B. Is A discharged from his liability ?",CONTRACT ACT
Whether a promise to pay time barred bet is valid and if so under what conditions?,CONTRACT ACT
Have you ever bought groceries from a local store? Did you know that each purchase constitutes a contract of sale under the Contract Act 1872?,CONTRACT ACT
Do you know the difference between an offer and an invitation to treat in everyday shopping scenarios?,CONTRACT ACT
Have you ever returned a defective product to a retailer? Did you understand your rights under the implied conditions and warranties of the Contract Act 1872?,CONTRACT ACT
"When you hire a service provider, such as a plumber or electrician, do you discuss and agree on the terms of service beforehand?",CONTRACT ACT
Have you ever rented a property? Did you sign a lease agreement outlining the terms and conditions of the tenancy?,CONTRACT ACT
"Do you understand the concept of consideration in contracts, such as when you pay for goods or services?",CONTRACT ACT
"Have you ever made a purchase online? Did you read and agree to the terms and conditions of the website, which form a contract between you and the seller?",CONTRACT ACT
"When you subscribe to a monthly service, like a streaming platform or a magazine, do you know your rights regarding the termination of the subscription as per the Contract Act 1872?",CONTRACT ACT
Have you ever lent money to a friend or family member? Did you create a written agreement specifying the terms of repayment?,CONTRACT ACT
"Do you know the legal consequences of breaching a contract, such as failing to deliver goods or services as agreed?",CONTRACT ACT
Have you ever participated in a buy-one-get-one-free offer? Did you understand the terms and conditions that govern such promotional deals?,CONTRACT ACT
"When you sign up for a membership at a gym or club, do you review the membership agreement to understand your rights and obligations?",CONTRACT ACT
"Have you ever faced a situation where a contract you entered into was declared void due to factors like mistake, fraud, or impossibility of performance?",CONTRACT ACT
Do you understand the importance of free consent in forming a valid contract under the Contract Act 1872?,CONTRACT ACT
"Have you ever attended an event, like a concert or a sports game, where you had to agree to terms and conditions before purchasing tickets?",CONTRACT ACT
"When you hire a contractor to renovate your home, do you ensure that the contract includes details such as the scope of work, timeline, and payment terms?",CONTRACT ACT
"Have you ever encountered a situation where a contract was terminated due to frustration, such as unforeseen events making performance impossible?",CONTRACT ACT
Do you know your rights as a consumer when it comes to returning defective products or canceling orders under the Contract Act 1872?,CONTRACT ACT
Have you ever signed a non-disclosure agreement (NDA) in a professional or personal capacity?,CONTRACT ACT
"When you engage in online transactions, do you take measures to protect your personal and financial information in accordance with contract law principles?",CONTRACT ACT
"Have you ever disputed a billing error with a service provider, such as a utility company or telecommunications provider?",CONTRACT ACT
Do you understand the legal implications of accepting terms of service agreements for software or digital platforms?,CONTRACT ACT
Have you ever negotiated a contract for freelance work or consulting services? Did you ensure that the contract adequately protected your interests?,CONTRACT ACT
"When you purchase goods from a retailer, do you verify that they meet the description and quality standards as per the Contract Act 1872?",CONTRACT ACT
"Have you ever been involved in a contract where one party breached the terms, leading to a dispute or legal action?",CONTRACT ACT
"Do you know the limitations period for filing a lawsuit to enforce a contract, as prescribed by the Contract Act 1872?",CONTRACT ACT
Have you ever participated in a crowdfunding campaign or pre-order arrangement for a product? Were you aware of the contractual implications of such transactions?,CONTRACT ACT
"When you sign up for a credit card or loan, do you carefully review the terms and conditions, including interest rates, fees, and repayment terms?",CONTRACT ACT
Have you ever been asked to provide a security deposit when entering into a rental agreement or lease?,CONTRACT ACT
"Do you understand the concept of agency in contract law, such as when someone acts on behalf of another party in negotiations or transactions?",CONTRACT ACT
"Have you ever faced difficulties enforcing a contract due to jurisdictional issues, such as dealing with parties located in different states or countries?",CONTRACT ACT
"When you engage in online shopping, do you ensure that the website's terms of use comply with applicable laws and regulations?",CONTRACT ACT
"Have you ever sought legal advice before entering into a significant contract, such as a business partnership agreement or property purchase?",CONTRACT ACT
"Do you know the legal requirements for a contract to be valid, including elements such as offer, acceptance, intention to create legal relations, and certainty of terms?",CONTRACT ACT
Have you ever faced challenges proving the existence of a contract in situations where agreements were made verbally or through informal correspondence?,CONTRACT ACT
"When you hire an employee or engage an independent contractor, do you use written employment or service contracts to define the terms of the relationship?",CONTRACT ACT
"Have you ever participated in a contract negotiation where alternative dispute resolution mechanisms, such as mediation or arbitration, were included?",CONTRACT ACT
Do you understand the doctrine of privity of contract and its implications for third-party rights and obligations?,CONTRACT ACT
Have you ever encountered situations where contracts were terminated due to breaches of confidentiality or non-compete provisions?,CONTRACT ACT
"When you sign up for a software subscription or online service, do you consider the implications of end-user license agreements (EULAs) and privacy policies?",CONTRACT ACT
Have you ever engaged in bartering or exchange transactions where goods or services were traded without using traditional currency?,CONTRACT ACT
Do you know your rights and responsibilities as a landlord or tenant under residential tenancy agreements governed by the Contract Act 1872?,CONTRACT ACT
"Have you ever participated in contracts involving intellectual property rights, such as licensing agreements for patents, trademarks, or copyrights?",CONTRACT ACT
"When you hire a professional, such as a lawyer or accountant, do you ensure that the engagement terms are clearly defined in written agreements?",CONTRACT ACT
"Do you understand the distinction between void and voidable contracts, and the circumstances under which contracts may be rescinded or declared unenforceable?",CONTRACT ACT
"Have you ever encountered situations where contracts were frustrated or discharged due to unforeseen events, such as natural disasters or government regulations?",CONTRACT ACT
"When you engage in online auctions or bidding processes, do you understand the contractual obligations associated with placing bids and winning auctions?",CONTRACT ACT
"Have you ever participated in contracts involving installment payments or deferred payment arrangements, such as hire-purchase agreements or installment sales?",CONTRACT ACT
"Do you know your rights regarding cancellation and cooling-off periods for certain types of contracts, such as door-to-door sales or distance contracts?",CONTRACT ACT
"Have you ever encountered situations where contracts were terminated due to mutual agreement or by operation of law, without the need for formal notice or legal action?",CONTRACT ACT
"When you engage in international transactions or contracts with parties from different legal jurisdictions, do you consider the implications of conflicts of law principles?",CONTRACT ACT
"Have you ever participated in contracts involving financial derivatives, such as futures contracts, options, or swaps?",CONTRACT ACT
Do you understand the legal requirements for electronic signatures and electronic contracts under the Contract Act 1872?,CONTRACT ACT
"When you engage in crowdfunding or peer-to-peer lending platforms, do you consider the risks and contractual obligations associated with such investments?",CONTRACT ACT
Have you ever encountered situations where contracts were terminated due to material breaches or fundamental non-performance by one of the parties?,CONTRACT ACT
Do you know your rights and obligations as a borrower or lender under loan agreements governed by the Contract Act 1872,CONTRACT ACT
"If an offer includes a deadline for acceptance but is received late, can it still be a valid contract if accepted immediately?",CONTRACT ACT
Can a written offer be revoked through oral communication under Section 13?,CONTRACT ACT
"How does the concept of ""consideration"" (Section 2(d)) apply to promises made in social settings?",CONTRACT ACT
"In a unilateral contract (Section 9), when does the promissee's performance become complete consideration?",CONTRACT ACT
Can an agreement to agree on future terms be a binding contract?,CONTRACT ACT
How does the doctrine of unsound mind (Section 11) affect a contract entered into by someone with a mental illness?,CONTRACT ACT
"Under Section 18, can a minor's contract for necessities be enforced?",CONTRACT ACT
What constitutes undue influence (Section 16) in a business transaction between family members?,CONTRACT ACT
Can a mistake of fact (Section 20) about the subject matter of a contract be grounds for its cancellation?,CONTRACT ACT
When can misrepresentation (Section 18) by a third party invalidate a contract?,CONTRACT ACT
When can a time limit for performance be considered the essence of the contract (Section 55)?,CONTRACT ACT
Does temporary non-performance always constitute a breach of contract (Section 39)?,CONTRACT ACT
 How does the concept of anticipatory breach (Section 39) apply to long-term contracts?,CONTRACT ACT
"Under Section 51, can a party who prevents the other from performing their obligations still claim a breach?",CONTRACT ACT
What are the rights and obligations of parties under a divisible contract (Section 54)?,CONTRACT ACT
"16. Can a party delegate their contractual duties under Section 61? If so, are there limitations?",CONTRACT ACT
How does the doctrine of frustration (Section 56) apply to unforeseen events that make performing a contract impossible?,CONTRACT ACT
What are the different modes of discharging a contract under Section 38?,CONTRACT ACT
"Can a party waive a breach of contract, and if so, under what circumstances (Section 64)?",CONTRACT ACT
"Under Section 40, what constitutes a tender of performance, and how does it impact a party's rights?",CONTRACT ACT
What are the essential elements required to prove a breach of contract?,CONTRACT ACT
How does the distinction between fundamental and non-fundamental breaches (Section 94) affect remedies?,CONTRACT ACT
Can remoteness of damage (Section 73) be a defense against a claim for breach of contract?,CONTRACT ACT
"Under Section 96, when can a party rescind a contract due to a breach?",CONTRACT ACT
What are the different types of damages available under Section 73 for breach of contract?,CONTRACT ACT
How does the concept of mitigation of damages (Section 73) affect a party's claim?,CONTRACT ACT
27. Can a party claim liquidated damages under Section 74 without proving actual loss?,CONTRACT ACT
when can specific performance (Section 55) be ordered as a remedy for breach of contract?,CONTRACT ACT
Does an innocent misrepresentation (Section 18) automatically entitle the other party to claim damages?,CONTRACT ACT
 How does the principle of anticipatory repudiation (Section 39) impact remedies available for breach?,CONTRACT ACT
What are the formalities required for a valid agreement to rescind a contract under Section 62?,CONTRACT ACT
Can a new agreement completely supersede the terms of the original contract (Section 63)?,CONTRACT ACT
 How does the concept of novation (novation of contract) differ from rescission under Section 62?,CONTRACT ACT
 What are the essential elements of a contract of sale under Section 76?,CONTRACT ACT
 When does the risk of loss for damaged goods pass from seller to buyer under Section 92?,CONTRACT ACT
" Under Section 113, can an implied condition of merchantability be excluded through an express term in the contract? 37",CONTRACT ACT
A client claims they verbally accepted an offer but never received written confirmation. Does this constitute a valid contract (Section 10)?,CONTRACT ACT
Can an advertisement offering a reward be considered a binding offer (Section 2)?,CONTRACT ACT
"Is past consideration (e.g., past favors) sufficient for a new promise to be enforceable (Section 2)?",CONTRACT ACT
" How does the concept of ""adequacy"" of consideration apply in contracts between family members (Section 25)?",CONTRACT ACT
 Can an agreement to sell a future crop be considered a valid contract (Section 20)?,CONTRACT ACT
"If someone signs a contract under duress (threats), can they later challenge its validity (Section 15)?",CONTRACT ACT
A minor enters into a contract for a luxury car. Can their parent be held liable (Section 11)?,CONTRACT ACT
"What constitutes ""undue influence"" in a contract between a doctor and their patient (Section 16)?",CONTRACT ACT
"A mistake of law (e.g., misunderstanding a legal requirement) can invalidate a contract (Section 21). How does this apply in specific situations?",CONTRACT ACT
 A client signed a contract in a language they don't understand. Can they claim misrepresentation (Section 18)?,CONTRACT ACT
"A contract specifies delivery ""within a reasonable time."" What factors determine what constitutes ""reasonable"" (Section 55)?",CONTRACT ACT
A party experiences a temporary delay due to unforeseen circumstances. Is this a breach of contract (Section 39)?,CONTRACT ACT
A client receives a notification from the other party indicating they won't perform their obligations. Can they claim anticipatory breach (Section 39)?,CONTRACT ACT
"One party prevents the other from performing, then claims a breach. Does this hold any weight (Section 51)?",CONTRACT ACT
A contract involves delivering goods in installments. Can a party claim a breach for a single late installment (Section 54)?,CONTRACT ACT
A contract assigns responsibility for obtaining permits. Can that responsibility be delegated (Section 61)?,CONTRACT ACT
A government regulation makes performing a contract significantly more expensive. Can the parties claim frustration (Section 56)?,CONTRACT ACT
A client wants to know the different ways a contract can be discharged (Section 38)?,CONTRACT ACT
"The other party committed a minor breach, but your client continued performance. Can they still claim a breach later (Section 64)?",CONTRACT ACT
 client received a defective product but didn't notify the seller promptly. Does this affect their rights (Section 40)?,CONTRACT ACT
"A client believes the other party breached the contract, but they're unsure if it's fundamental or non-fundamental (Section 94). How does this impact remedies?",CONTRACT ACT
" An unforeseeable event caused the breach, but it resulted in losses for the other party. Can they claim remoteness of damage (Section 73)?",CONTRACT ACT
"the other party breached the contract, but your client didn't suffer any actual loss. Can they still claim damages (Section 73)?",CONTRACT ACT
 When is rescission (cancellation) the most appropriate remedy for a breach (Section 96)?,CONTRACT ACT
 What type of damages can be claimed for a breach of warranty (Section 75)?,CONTRACT ACT
 Your client incurred additional expenses to minimize losses after a breach. Can they claim these expenses under mitigation (Section 73)?,CONTRACT ACT
 The contract includes a liquidated damages clause. Does your client need to prove actual loss (Section 74)?,CONTRACT ACT
 In what situations can a court order specific performance (forcing the other party to fulfill their obligations) (Section 55)?,CONTRACT ACT
The other party made an innocent misrepresentation (unintentional mistake). Can your client claim damages (Section 18)?,CONTRACT ACT
 A client received notice of repudiation (refusal to perform) before the performance date. What are their options (Section 39)?,CONTRACT ACT
"A written contract modification exists, but the other party claims a verbal agreement supersedes it. How does this play out (Section 63)?",CONTRACT ACT
 The parties agree to rescind a contract without any formal documentation. Is this valid (Section 6,CONTRACT ACT
Can an oral contract be considered valid and enforceable under the Contract Act 1872?,CONTRACT ACT
"How does the Contract Act 1872 define the term ""contract"" and what are its essential elements?",CONTRACT ACT
"Under the Contract Act 1872, what constitutes a valid offer and acceptance in forming a contract?",CONTRACT ACT
"What are the different types of contracts recognized under the Contract Act 1872, and how do they differ in terms of enforceability?",CONTRACT ACT
How does the Contract Act 1872 deal with contracts that involve minors or persons of unsound mind?,CONTRACT ACT
Explain the concept of consideration as defined in the Contract Act 1872 and its significance in contract law.,CONTRACT ACT
"Can a contract be deemed void if it is made under coercion or undue influence according to the Contract Act 1872? If so, what are the consequences?",CONTRACT ACT
How does the Contract Act 1872 address contracts that are contingent on the occurrence of uncertain future events?,CONTRACT ACT
"What remedies are available for breach of contract under the Contract Act 1872, and how are they determined?",CONTRACT ACT
"Under the Contract Act 1872, what constitutes a valid consideration, and does it have to be monetary?",CONTRACT ACT
Can a contract be enforced if it lacks mutuality of obligation according to the Contract Act 1872?,CONTRACT ACT
How does the Contract Act 1872 deal with contracts that are impossible to perform due to subsequent events?,CONTRACT ACT
"Explain the concept of fraud in relation to contracts under the Contract Act 1872, and what are the consequences of fraudulent misrepresentation?",CONTRACT ACT
Can a contract be rescinded if it is based on mutual mistake of fact according to the Contract Act 1872?,CONTRACT ACT
"Under what circumstances can a contract be considered voidable under the Contract Act 1872, and what are the grounds for avoidance?",CONTRACT ACT
"How does the Contract Act 1872 address contracts that are against public policy, and what are the implications?",CONTRACT ACT
"Explain the concept of free consent in contracts according to the Contract Act 1872, and what factors may vitiate consent?",CONTRACT ACT
Can a contract be enforced if it is based on mistake of law according to the Contract Act 1872?,CONTRACT ACT
"Under the Contract Act 1872, what constitutes a valid offer, and can an offer be revoked?",CONTRACT ACT
"How does the Contract Act 1872 address contracts that lack certainty of terms, and can they still be enforced?",CONTRACT ACT
"Explain the doctrine of privity of contract as outlined in the Contract Act 1872, and how does it affect third-party rights?",CONTRACT ACT
Can a contract be considered valid if it is made through electronic means according to the Contract Act 1872?,CONTRACT ACT
How does the Contract Act 1872 deal with contracts that are contingent on the conduct of a third party?,CONTRACT ACT
Can a contract be enforced if it is based on misrepresentation according to the Contract Act 1872?,CONTRACT ACT
Under what circumstances can a contract be rescinded due to undue influence according to the Contract Act 1872?,CONTRACT ACT
"Explain the concept of impossibility of performance in contracts according to the Contract Act 1872, and what are the consequences?",CONTRACT ACT
Can a contract be enforced if it is based on coercion according to the Contract Act 1872?,CONTRACT ACT
"How does the Contract Act 1872 address contracts that involve illegal activities, and are they enforceable?",CONTRACT ACT
"Explain the concept of discharge of contract under the Contract Act 1872, and what are the various methods of discharge?",CONTRACT ACT
Can a contract be enforced if it is based on duress according to the Contract Act 1872?,CONTRACT ACT
What are the essential elements required for the formation of a valid contract under the Contract Act 1872?,CONTRACT ACT
Can an offer made in jest be considered legally binding under the Contract Act 1872?,CONTRACT ACT
"How does the Contract Act 1872 define 'acceptance', and what are the different modes of acceptance?",CONTRACT ACT
Can a contract be formed through electronic communication according to the Contract Act 1872?,CONTRACT ACT
Explain the difference between an offer and an invitation to offer as per the Contract Act 1872.,CONTRACT ACT
Under what circumstances can silence be construed as acceptance under the Contract Act 1872?,CONTRACT ACT
How does the Contract Act 1872 deal with contracts made by minors or persons of unsound mind?,CONTRACT ACT
Can a contract be enforced if it lacks consideration according to the Contract Act 1872?,CONTRACT ACT
"What constitutes lawful consideration under the Contract Act 1872, and does it have to be monetary?",CONTRACT ACT
How does the Contract Act 1872 address contracts that are contingent on the happening of an uncertain future event?,CONTRACT ACT
Explain the concept of 'capacity to contract' as outlined in the Contract Act 1872.,CONTRACT ACT
Can a contract be formed through conduct alone according to the Contract Act 1872?,CONTRACT ACT
"What are the different types of contracts recognized under the Contract Act 1872, and how do they differ?",CONTRACT ACT
How does the Contract Act 1872 deal with contracts that are impossible to perform?,CONTRACT ACT
Explain the concept of 'void agreements' and 'void contracts' under the Contract Act 1872.,CONTRACT ACT
Can a contract be enforced if it is based on a wager or involves unlawful consideration according to the Contract Act 1872?,CONTRACT ACT
Under what circumstances can a contract be rescinded according to the Contract Act 1872?,CONTRACT ACT
"How does the Contract Act 1872 define 'fraud', and what are its implications in contract law?",CONTRACT ACT
Can a contract be enforced if it is based on misrepresentation according to the Contract Act 1872?,CONTRACT ACT
"What constitutes 'coercion' under the Contract Act 1872, and how does it affect the validity of a contract?",CONTRACT ACT
Explain the doctrine of 'privity of contract' as outlined in the Contract Act 1872.,CONTRACT ACT
Can a contract be enforced if it is made under undue influence according to the Contract Act 1872?,CONTRACT ACT
How does the Contract Act 1872 address contracts that are contingent on an impossible event?,CONTRACT ACT
What are the rights and liabilities of parties in a contract as per the Contract Act 1872?,CONTRACT ACT
Can a contract be enforced if it lacks certainty of terms according to the Contract Act 1872?,CONTRACT ACT
What are the key provisions of the Contract Act 1872 that govern the formation and enforceability of contracts in [your jurisdiction]?,CONTRACT ACT
"Can an offer be revoked once it has been communicated to the offeree under the Contract Act 1872? If so, what are the requirements for revocation?",CONTRACT ACT
"Explain the difference between an invitation to treat and an offer under the Contract Act 1872, providing examples of each.",CONTRACT ACT
"How does the Contract Act 1872 define 'consideration', and why is it a fundamental element of a valid contract?",CONTRACT ACT
"Can a contract be enforced if it lacks consideration, according to the provisions of the Contract Act 1872? Provide relevant case law examples.",CONTRACT ACT
"Under what circumstances can a contract be considered voidable under the Contract Act 1872, and what are the rights of the parties in such cases?",CONTRACT ACT
"Discuss the concept of 'free consent' in contracts as per the Contract Act 1872, and explain how coercion and undue influence affect consent.",CONTRACT ACT
"What are the remedies available to an aggrieved party in case of breach of contract under the Contract Act 1872? Compare and contrast damages, specific performance, and injunctions.",CONTRACT ACT
Can a contract be rescinded due to mutual mistake of fact under the Contract Act 1872? Provide a case example to illustrate.,CONTRACT ACT
"Explain the doctrine of privity of contract under the Contract Act 1872, and its implications for third-party rights in contracts.",CONTRACT ACT
How does the Contract Act 1872 address contracts made by persons of unsound mind or minors? What protections are in place for such individuals?,CONTRACT ACT
"Can a contract be considered valid if it is based on fraudulent misrepresentation, according to the provisions of the Contract Act 1872? Discuss the elements of fraud and its consequences.",CONTRACT ACT
"Under what circumstances can a contract be discharged by performance, as per the Contract Act 1872? Provide examples to illustrate.",CONTRACT ACT
"Discuss the role of public policy in contract law, as recognized by the Contract Act 1872. Provide examples of contracts that may be considered against public policy.",CONTRACT ACT
Can a contract be enforced if it is based on mistake of law under the Contract Act 1872? Discuss the distinction between mistake of law and mistake of fact.,CONTRACT ACT
"Explain the concept of contingent contracts under the Contract Act 1872, and provide examples of situations where such contracts may arise.",CONTRACT ACT
Can an agreement without consideration be enforced under the Contract Act 1872? Discuss exceptions to the general rule requiring consideration.,CONTRACT ACT
Discuss the legal requirements for the valid revocation of an offer under the Contract Act 1872. Provide examples of valid and invalid revocations.,CONTRACT ACT
Under what circumstances can a contract be considered void ab initio under the Contract Act 1872? Provide examples of such situations.,CONTRACT ACT
Explain the principle of 'caveat emptor' as it applies to contracts for the sale of goods under the Contract Act 1872.,CONTRACT ACT
Is mutation is a title document?,property transfer
" What is the name of the document, which creates title in immovable property?",property transfer
 What is meant by Conveyance Deed or Sale Deed?1,property transfer
Q. From where I can obtain my house documents or title deeds of my property?,property transfer
